contig	length	gc	stage1_fre	stage1_mean_depth	stage1_mean_cov	stage2_fre	stage2_mean_depth	stage2_mean_cov	control.fre	control.mean.depth	contro.mean.cov	annotation
k141_4485	418	0.402	5	5.000	0.804	10	3.400	0.500	72	0.00412347421311768	0.00365798498467176	Homo sapiens
k141_5790	370	0.403	4	1.250	0.772	5	1.600	0.520	72	0.00406929217248548	0.00401339306270621	Homo sapiens
k141_6765	507	0.420	2	2.000	0.669	3	2.667	0.529	72	0.00324731155994974	0.00300980794092272	Homo sapiens
k141_7221	421	0.494	4	82.250	0.969	7	12.571	0.668	73	0.00387116876982168	0.00362503375767844	Eulemur rufifrons
k141_8656	464	0.379	5	7.000	0.794	10	10.000	0.634	74	0.00350233263239695	0.00332847682736115	Homo sapiens
k141_8390	400	0.398	4	18.250	0.960	8	8.875	0.822	76	0.0116861159639713	0.00527813207098622	Homo sapiens
k141_8933	494	0.607	5	11.400	0.712	4	6.000	0.498	77	0.0068190480564838	0.0052782105597368	Homo sapiens
k141_8065	1885	0.442	5	541.200	0.702	15	140.733	0.557	77	0.00153731289807792	0.000885099543775726	Plasmodium falciparum 3D7
k141_9626	509	0.391	4	17.250	0.881	7	11.143	0.762	78	0.0471996585852316	0.00373738710209235	Homo sapiens
k141_8275	419	0.391	5	14.200	0.929	11	13.091	0.966	78	0.0045478333904481	0.00398740684708258	Homo sapiens
k141_10013	515	0.398	5	20.000	0.982	14	18.214	0.891	78	0.00338072528207019	0.00318341314690033	Homo sapiens
k141_10497	337	0.395	4	2.250	0.835	5	2.200	0.748	79	0.00629283667917547	0.00506703085647171	Homo sapiens
k141_10182	512	0.404	4	7.000	0.936	6	4.833	0.612	79	0.00427189151588043	0.00318639513938669	Homo sapiens
k141_8983	419	0.389	4	62.250	0.982	11	28.000	0.929	80	0.00706128321493057	0.00462770033372533	Homo sapiens
k141_9079	430	0.407	4	3.000	0.707	2	6.000	0.656	80	0.00646979032786492	0.00471388703295853	Homo sapiens
k141_9338	398	0.389	3	3.000	0.880	7	4.571	0.790	80	0.00415084776994736	0.00400505526021597	Homo sapiens
k141_9004	616	0.409	5	18.000	0.933	14	11.714	0.719	80	0.00294401463457773	0.0027193149550187	Homo sapiens
k141_8216	539	0.397	4	130.250	1.000	15	38.933	0.828	81	0.00819961195580323	0.00439314430364138	Homo sapiens
k141_9964	385	0.416	2	1.000	0.631	3	1.000	0.657	81	0.00447235794738917	0.00427289523735948	Homo sapiens
k141_8243	345	0.388	3	14.333	0.980	3	3.333	0.849	82	0.0227433783309854	0.0060844379379142	Homo sapiens
k141_9941	421	0.366	5	4.400	0.963	8	5.000	0.762	82	0.00450109816950408	0.0040677576901533	Homo sapiens
k141_7574	501	0.403	3	1.667	0.733	3	3.000	0.744	82	0.00374621136247549	0.00356714671571169	Homo sapiens
k141_8332	458	0.367	3	2.000	0.832	5	2.800	0.548	83	0.00707982363472871	0.00641105200731167	Homo sapiens
k141_5425	368	0.383	3	1.000	0.498	6	3.000	0.578	83	0.00527715404896752	0.00485795314856385	Homo sapiens
k141_9760	383	0.540	4	6.250	0.785	7	2.857	0.357	86	0.0184434057560631	0.0058761489848066	Homo sapiens
k141_2266	399	0.401	4	2.750	0.751	4	1.750	0.713	86	0.00982006400068642	0.00497727131298449	Homo sapiens
k141_4117	418	0.397	4	1.750	0.720	7	2.714	0.615	87	0.00434819801541455	0.00417283397703119	Homo sapiens
k141_10172	460	0.409	4	82.250	1.000	12	28.917	0.858	88	0.00601475110262542	0.00484583596200609	Homo sapiens
k141_9861	509	0.391	5	2.000	0.638	6	4.667	0.628	88	0.0043750438085092	0.00383041090571143	Homo sapiens
k141_10488	479	0.413	4	5.750	0.875	6	5.167	0.785	89	0.00678727119258592	0.00459561640955345	Homo sapiens
k141_4562	330	0.461	4	5.500	0.780	10	4.800	0.449	91	0.00609155074288504	0.00571336513116717	Homo sapiens
k141_10197	457	0.435	3	3.000	0.743	4	4.750	0.783	91	0.0044899099848581	0.0041861987518373	Homo sapiens
k141_4868	398	0.392	4	2.250	0.732	5	2.400	0.654	92	0.00545946063808097	0.0050290935752091	Homo sapiens
k141_3322	361	0.416	4	19.500	0.973	7	4.571	0.811	93	0.0163422657587281	0.00611641013863128	Homo sapiens
k141_8006	349	0.381	3	1.000	0.620	2	2.500	0.562	93	0.0061043423751582	0.00567165622789715	Homo sapiens
k141_7559	375	0.384	2	1.000	0.692	3	2.000	0.744	93	0.00541886061937018	0.0051863174911484	Homo sapiens
k141_2304	700	0.414	4	31.750	0.969	11	12.909	0.662	95	0.00844297811126753	0.0035576621952065	Homo sapiens
k141_5525	459	0.407	4	13.750	0.999	10	6.000	0.782	96	0.00934005628237262	0.00617913837849921	Homo sapiens
k141_7171	359	0.401	4	2.000	0.838	7	5.000	0.908	96	0.00596681708404179	0.00569491894924425	Homo sapiens
k141_10498	593	0.384	3	5.000	0.925	11	3.636	0.585	96	0.00346689198157153	0.00340421753212253	Homo sapiens
k141_6260	647	0.369	4	2.500	0.534	5	3.400	0.430	97	0.00372404982853392	0.00334901944809419	Homo sapiens
k141_339	614	0.394	2	71.500	0.821	5	33.600	0.712	98	0.008724926036832	0.00373021085608617	Plasmodium falciparum 3D7
k141_3245	529	0.391	4	5.000	0.740	10	3.400	0.624	98	0.00445057690701566	0.00416662822530343	Homo sapiens
k141_9205	685	0.422	3	18.333	0.529	8	60.625	0.568	99	0.00766146898161639	0.00349578577662117	Toxoplasma gondii ME49
k141_7024	412	0.383	5	2.800	0.818	10	3.500	0.744	99	0.00555041230492334	0.0052117087058224	Homo sapiens
k141_9692	757	0.387	5	14.600	0.990	14	11.000	0.683	100	0.00306773274338941	0.002949678292467	Homo sapiens
k141_4184	319	0.408	3	5.000	0.866	5	4.200	0.807	102	0.00701413594390365	0.00669124032827392	Homo sapiens
k141_5694	354	0.438	4	4.000	0.689	6	6.167	0.608	103	0.0165297512818015	0.0062820284607687	Homo sapiens
k141_6705	656	0.378	5	6.600	0.654	11	11.545	0.597	104	0.0042744457447035	0.00376404798186709	Homo sapiens
k141_10242	581	0.372	5	10.200	0.873	12	16.167	0.693	105	0.00515903148028477	0.00418929933115397	Homo sapiens
k141_2616	838	0.383	5	27.400	0.776	12	15.417	0.705	105	0.00506432701056864	0.00370100655099464	Homo sapiens
k141_7676	469	0.416	3	2.667	0.896	8	1.750	0.737	105	0.00501209515555814	0.00484492967691124	Homo sapiens
k141_5850	459	0.373	2	9.500	0.558	4	53.750	0.718	106	0.0127162930960766	0.00497434853198858	Plasmodium falciparum 3D7
k141_8524	469	0.386	5	5.400	0.759	10	6.600	0.726	106	0.0056421668169531	0.00495119854347356	Homo sapiens
k141_8956	553	0.409	4	4.250	0.686	6	4.167	0.758	106	0.00450530177626422	0.00440707572356568	Homo sapiens
k141_2355	340	0.453	4	2.500	0.874	4	3.500	0.685	107	0.00670319617762098	0.00640745256774719	Homo sapiens
k141_5965	439	0.417	5	2.600	0.888	10	1.700	0.833	107	0.00579546768091116	0.00544871377559512	Homo sapiens
k141_5473	621	0.388	2	16.000	0.771	5	32.600	0.713	109	0.0108622705478653	0.00433635752646649	Plasmodium falciparum 3D7
k141_7940	575	0.403	4	39.250	0.989	10	16.900	0.693	109	0.00556337660808298	0.00415706529831192	Homo sapiens
k141_2047	405	0.415	2	1.000	0.995	4	2.750	0.922	111	0.0105786135226694	0.00780946858744781	Homo sapiens
k141_7822	441	0.351	3	2.333	0.831	7	2.143	0.569	111	0.00623294140737281	0.00562908852126927	Homo sapiens
k141_10049	323	0.378	3	1.667	0.761	4	2.750	0.788	112	0.00921995846034556	0.00806457852234603	Homo sapiens
k141_2676	483	0.383	3	2.000	0.585	6	1.833	0.497	113	0.00566768208124838	0.00523781044797008	Homo sapiens
k141_6036	637	0.402	3	38.000	0.592	6	56.500	0.624	114	0.0111376960259387	0.00440770783044109	Brevipalpus obovatus
k141_3030	387	0.390	5	4.200	0.947	9	6.333	0.944	114	0.00623044093396205	0.00601896569036439	Homo sapiens
k141_488	364	0.371	5	5.400	0.944	10	9.100	0.855	115	0.00739665383518159	0.00677875930326892	Homo sapiens
k141_4461	668	0.391	5	15.200	0.980	15	10.600	0.861	115	0.00413230421310143	0.00377938451954742	Homo sapiens
k141_6824	306	0.467	2	2.500	0.763	4	24.250	0.825	116	0.0229800849443323	0.00917865157768419	Toxoplasma gondii ME49
k141_3767	473	0.414	4	51.750	0.956	12	21.250	0.768	117	0.0133450070271257	0.00622483769982664	Homo sapiens
k141_2915	395	0.367	2	1.000	0.922	6	2.833	0.837	118	0.00788821962622605	0.00659824951962673	Homo sapiens
k141_5501	314	0.408	4	5.750	0.947	4	3.500	0.845	121	0.0247443782409913	0.011174730574998	Homo sapiens
k141_5611	352	0.395	2	3.500	0.911	6	3.833	0.660	121	0.00747577053402855	0.00725842103275948	Homo sapiens
k141_7771	417	0.379	5	3.000	0.827	6	4.333	0.841	121	0.00667667096205914	0.00638725720353048	Homo sapiens
k141_9452	372	0.392	4	49.750	0.997	10	25.000	0.981	122	0.0297155729919209	0.00751645748052455	Homo sapiens
k141_8952	376	0.375	2	2.000	0.963	5	2.200	0.705	122	0.00804155128677293	0.00745226689795319	Homo sapiens
k141_2534	922	0.425	2	7.000	0.542	4	14.250	0.519	124	0.0176543365103553	0.00515801233461114	Plasmodium falciparum 3D7
k141_76	494	0.381	4	7.250	0.787	8	5.250	0.698	124	0.0114310281379613	0.00711880576391704	Homo sapiens
k141_1751	496	0.421	2	2.000	0.632	6	2.167	0.580	125	0.00639065248040278	0.00590523276665804	Homo sapiens
k141_8196	409	0.369	2	2.000	0.572	2	30.500	0.604	126	0.0198106339020173	0.00720142573030515	Plasmodium falciparum 3D7
k141_3335	444	0.363	2	3.000	0.578	4	18.750	0.481	126	0.0162364913022174	0.00653217094729989	Plasmodium falciparum 3D7
k141_10391	309	0.414	2	1.000	0.909	9	1.889	0.713	127	0.00951206676402601	0.00880682259452265	Homo sapiens
k141_8468	321	0.421	4	2.000	0.670	8	1.875	0.604	127	0.0086303147435961	0.0083231377143442	Homo sapiens
k141_8367	376	0.439	3	2.000	0.730	2	2.000	0.733	130	0.00886976743710111	0.00860591635708212	Homo sapiens
k141_10450	460	0.350	5	2.400	0.742	4	7.000	0.874	130	0.00715230801652794	0.00640244633933711	Homo sapiens
k141_10021	651	0.556	4	11.750	0.794	5	6.400	0.494	131	0.00467964287289909	0.0043304822637696	Homo sapiens
k141_8834	591	0.367	3	1.000	0.666	2	2.000	0.400	132	0.00534085594847095	0.00492119780781269	Homo sapiens
k141_9907	745	0.396	5	5.000	0.650	10	8.200	0.497	132	0.00400399110412087	0.00393842951934424	Homo sapiens
k141_9747	442	0.414	3	1.000	0.804	2	1.500	0.262	133	0.00679419410955173	0.00635224417597922	Homo sapiens
k141_8462	776	0.357	5	29.200	0.674	14	25.214	0.548	133	0.00426873217395192	0.00385152960067085	Homo sapiens
k141_6794	291	0.364	4	2.250	0.953	8	2.875	0.869	134	0.0102761563429565	0.0101124836325059	Homo sapiens
k141_6344	534	0.380	4	7.000	0.841	7	4.429	0.609	136	0.0189764366842987	0.0068593331324674	Homo sapiens
k141_10337	418	0.431	4	1.250	0.517	5	1.200	0.480	136	0.00736704111519987	0.0067646149210521	Homo sapiens
k141_4131	593	0.388	4	3.250	0.696	7	4.286	0.525	137	0.00565766390014116	0.00500205047793794	Homo sapiens
k141_2802	762	0.406	4	147.500	0.771	14	50.214	0.641	140	0.0244135408347052	0.00570430400359934	Homo sapiens
k141_10024	341	0.405	5	5.400	0.780	10	5.700	0.679	141	0.00907096765854527	0.00843114236510755	Homo sapiens
k141_9073	532	0.393	5	24.800	0.844	10	13.700	0.915	143	0.0157367478512129	0.00684278370244731	Homo sapiens
k141_3916	3271	0.394	5	311.400	0.992	18	163.111	0.705	143	0.00108822958955626	0.000989249726785576	Homo sapiens
k141_6900	249	0.434	4	2.250	0.817	3	1.000	0.710	146	0.01710875143409	0.0136736174313406	NA
k141_908	407	0.371	5	7.000	0.863	8	12.625	0.851	146	0.00794008746635107	0.00734574360048705	Homo sapiens
k141_5594	445	0.407	5	15.200	0.988	13	12.538	0.819	149	0.00743755122849976	0.00709331051544125	Homo sapiens
k141_4050	474	0.403	5	5.000	0.839	10	5.300	0.757	150	0.00692379666236536	0.00660201263232435	Homo sapiens
k141_1547	320	0.406	4	2.500	0.755	5	2.800	0.744	151	0.0155053224790827	0.0120713152029676	Homo sapiens
k141_649	340	0.365	2	1.000	0.819	5	1.600	0.660	151	0.0108277444410543	0.0100261879939531	Homo sapiens
k141_10155	676	0.370	5	20.000	0.980	13	15.077	0.828	152	0.0054359460438066	0.00508533461783034	Homo sapiens
k141_3221	383	0.360	2	5.500	0.641	4	71.500	0.644	155	0.0313678127123449	0.0103810896228316	Plasmodium falciparum 3D7
k141_10173	583	0.400	5	9.000	0.869	11	9.545	0.767	157	0.00654408165679041	0.00582105082759915	Homo sapiens
k141_4176	378	0.381	4	2.500	0.985	9	2.222	0.782	159	0.0100616369751089	0.00934153925166627	Homo sapiens
k141_486	568	0.410	5	9.800	0.802	13	9.615	0.785	159	0.00642766371454134	0.00615931405206614	Homo sapiens
k141_6772	621	0.393	5	10.200	0.713	13	12.462	0.670	159	0.00564146801381708	0.00539112141344482	Homo sapiens
k141_6130	354	0.381	4	2.000	0.888	5	3.800	0.836	160	0.0120956513187002	0.00972903984842594	Homo sapiens
k141_7219	506	0.385	5	59.600	0.919	11	20.273	0.847	161	0.0155092148197533	0.00866447165010985	Homo sapiens
k141_9045	569	0.406	5	20.200	0.967	14	12.286	0.849	161	0.00603414471879196	0.00582371643174568	Homo sapiens
k141_325	289	0.363	4	2.000	0.976	6	3.167	0.969	164	0.0163958501485448	0.0132076904741973	Homo sapiens
k141_455	450	0.393	5	8.200	0.752	14	7.071	0.629	164	0.00826929181277346	0.00767493563476402	Homo sapiens
k141_9096	490	0.406	4	10.750	0.745	5	3.200	0.705	166	0.132708349995374	0.0194755996750665	Homo sapiens
k141_10101	840	0.411	5	28.200	0.759	12	18.333	0.686	167	0.00535438794913264	0.00508795226268553	Homo sapiens
k141_7783	321	0.374	3	1.667	0.966	9	2.667	0.862	168	0.0124327263204997	0.0113964917503222	Homo sapiens
k141_4308	622	0.418	3	4.667	0.758	7	5.143	0.556	169	0.00832349017927599	0.00635439558717368	Homo sapiens
k141_1385	349	0.381	3	2.667	0.836	8	3.125	0.780	170	0.0114816849951561	0.010414673410876	Homo sapiens
k141_10153	638	0.425	4	15.000	0.499	7	112.857	0.715	175	0.0202182298865166	0.00787707569551006	Plasmodium falciparum 3D7
k141_1027	453	0.415	5	6.200	0.954	8	7.125	0.896	175	0.00864920362769388	0.00817401424003057	Homo sapiens
k141_10269	433	0.402	5	5.200	0.894	6	7.667	0.808	177	0.00920433586830614	0.00893256668241912	Homo sapiens
k141_6937	498	0.412	5	2.800	0.812	8	3.125	0.440	177	0.0077183926811842	0.0074693495843858	Homo sapiens
k141_7843	537	0.402	4	6.000	0.812	8	2.750	0.527	180	0.0235766203588004	0.0092512143626339	Homo sapiens
k141_2472	418	0.397	5	28.600	1.000	11	17.909	0.849	182	0.00982081112759447	0.00916476451344723	Homo sapiens
k141_7031	290	0.414	5	2.000	0.960	5	3.800	0.990	185	0.0180836991832068	0.0152352447433627	NA
k141_1355	364	0.382	5	2.200	0.697	7	3.000	0.528	185	0.0129339124412327	0.0107340003952791	Homo sapiens
k141_2628	471	0.406	4	6.250	0.885	10	7.500	0.589	185	0.00862932502352918	0.00823343196123166	Homo sapiens
k141_2980	383	0.358	5	3.600	0.977	7	5.286	0.886	188	0.013425101920126	0.0115379288650058	Homo sapiens
k141_7742	500	0.358	5	2.600	0.830	7	5.429	0.704	188	0.00966206732594103	0.00798736053594426	Homo sapiens
k141_10091	507	0.613	5	11.200	0.777	4	6.500	0.562	189	0.0149648600924551	0.0102050282692952	Homo sapiens
k141_9693	435	0.379	2	1.500	0.674	6	1.667	0.561	191	0.0111000337605448	0.0101026298242458	Homo sapiens
k141_4757	1097	0.633	2	6.000	0.956	2	1.500	0.441	192	0.207588842027468	0.00637382142359572	Homo sapiens
k141_2139	420	0.398	4	1.500	0.664	7	3.143	0.515	193	0.01024538946544	0.00960255774420004	Homo sapiens
k141_8032	426	0.427	4	3.250	0.843	4	3.500	0.819	196	0.0191105333089321	0.0159264265350088	Naegleria fowleri
k141_5919	427	0.489	5	319.600	0.682	10	32.200	0.616	196	0.0115850411414821	0.00995381917654382	Equus asinus
k141_10279	776	0.365	5	5.800	0.505	11	5.000	0.490	196	0.00657144292144087	0.00575558464286514	Homo sapiens
k141_5105	317	0.369	4	2.250	0.860	6	2.667	0.832	198	0.0140117806012164	0.0130594932947352	Homo sapiens
k141_8157	279	0.409	2	1.000	0.539	2	1.000	0.692	199	0.019084414224841	0.016446323368151	Homo sapiens
k141_9119	427	0.422	2	1.500	0.924	3	1.000	0.840	202	0.0169297720165284	0.0128991627129206	Homo sapiens
k141_4539	372	0.417	5	7.400	0.898	8	7.375	0.843	202	0.0123623719137214	0.0117023952390342	Homo sapiens
k141_4431	337	0.433	4	1.500	0.904	4	4.250	0.762	203	0.0202617964893396	0.0167467092034443	NA
k141_8428	1506	0.356	2	312.500	0.695	11	77.909	0.482	207	0.0162370199924887	0.00459280173914611	Plasmodium falciparum
k141_10104	413	0.409	4	2.000	0.799	7	2.000	0.615	207	0.0135084941198579	0.0109018008396999	Homo sapiens
k141_4294	372	0.358	2	1.500	0.649	6	2.000	0.738	207	0.012446643094011	0.0119181102432144	Homo sapiens
k141_3852	426	0.401	5	11.800	0.898	9	10.333	0.832	209	0.0107114738162665	0.0103170362909469	Homo sapiens
k141_8300	327	0.385	5	5.000	0.946	9	2.444	0.736	210	0.0265175868467652	0.0234618918415753	Homo sapiens
k141_4763	365	0.362	2	2.000	1.000	8	2.750	0.947	212	0.016752060216811	0.0134017917046786	Homo sapiens
k141_8968	591	0.394	3	14.667	0.544	9	93.556	0.690	213	0.0378825311225947	0.0106795762881331	Plasmodium falciparum 3D7
k141_5923	474	0.397	3	8.000	0.887	4	2.750	0.729	213	0.02889524197793	0.00979910180568213	Homo sapiens
k141_10296	479	0.382	2	6.000	0.954	12	4.583	0.811	214	0.0104552736684908	0.00996323585993043	Homo sapiens
k141_778	392	0.347	2	1.000	0.810	5	1.200	0.840	217	0.0196701306851552	0.0142322276238496	Homo sapiens
k141_7165	339	0.410	4	1.250	0.540	4	6.750	0.999	218	0.0236378050501422	0.0175690319456235	NA
k141_10228	459	0.392	5	7.800	0.974	7	11.429	0.847	220	0.0113786524988368	0.0101220485673365	Homo sapiens
k141_4800	329	0.422	3	1.000	0.766	3	2.333	0.793	227	0.0225489574751939	0.0176597186931009	NA
k141_6443	438	0.429	4	2.250	0.920	5	4.800	0.999	228	0.0208639758871007	0.0150122849542754	NA
k141_8326	1636	0.406	5	141.400	0.976	18	64.111	0.744	228	0.0032423262225531	0.00318751068287563	Homo sapiens
k141_9962	619	0.389	5	5.800	0.677	12	4.750	0.524	229	0.00914285618098255	0.00790904588082793	Homo sapiens
k141_10303	479	0.397	5	19.200	1.000	11	10.273	0.927	231	0.0109335787077469	0.0104972546310656	Homo sapiens
k141_8159	597	0.377	5	3.200	0.719	7	7.286	0.743	231	0.00923009215097442	0.00864219902063266	Homo sapiens
k141_5185	659	0.382	5	18.200	0.982	14	18.857	0.814	232	0.00840928776397883	0.00786676615511779	Homo sapiens
k141_5803	598	0.401	5	29.000	0.863	12	19.083	0.752	234	0.00923852526091729	0.00850852556724206	Homo sapiens
k141_517	331	0.414	4	1.250	0.635	5	1.400	0.537	238	0.0174525473352688	0.0152864096914965	Homo sapiens
k141_8123	424	0.417	5	4.800	0.750	8	3.750	0.930	238	0.013020449997709	0.0119144814490921	Homo sapiens
k141_1073	368	0.348	3	1.667	0.903	8	1.875	0.919	244	0.0166411074432	0.015268271469857	eukaryotic synthetic construct
k141_8811	346	0.396	2	1.500	0.821	8	2.750	0.846	247	0.0169240189887454	0.0153155290143048	Homo sapiens
k141_1136	630	0.410	5	5.000	0.843	9	4.444	0.668	248	0.00967331558434649	0.00829540905467714	Homo sapiens
k141_5143	256	0.359	2	1.000	0.711	2	1.000	0.623	249	0.0230316158263511	0.020745559375674	Homo sapiens
k141_8457	396	0.389	4	3.500	0.790	6	2.500	0.702	251	0.027699918207081	0.0137657881023664	Homo sapiens
k141_3731	239	0.360	2	1.000	1.000	2	2.000	0.923	254	0.0263676498370263	0.023729139312534	Homo sapiens
k141_9849	415	0.373	3	2.333	0.982	5	2.000	0.895	254	0.0170447202146611	0.0143349106113705	Homo sapiens
k141_8414	336	0.402	3	2.667	0.658	5	2.600	0.519	256	0.0175906464453214	0.0157614327792931	Homo sapiens
k141_9253	323	0.427	3	1.000	0.908	5	3.000	0.808	257	0.0288256096089887	0.0215855352059812	NA
k141_3738	285	0.347	2	5.000	1.000	3	2.667	0.979	263	0.0234150663250532	0.0210693000025747	NA
k141_10406	630	0.373	3	1.000	0.630	2	3.000	0.573	264	0.0105913820491855	0.00978329814112342	Homo sapiens
k141_10271	707	0.396	5	4.800	0.714	11	3.909	0.600	267	0.00943617239439026	0.00847306187118	Homo sapiens
k141_10427	413	0.402	3	1.667	0.800	5	5.400	0.906	268	0.0262895516804512	0.0204411255731052	NA
k141_9264	423	0.388	3	3.333	0.863	4	4.000	0.858	268	0.0189464140158286	0.0159196546048556	Homo sapiens
k141_9969	514	0.414	5	7.200	0.835	9	6.778	0.815	268	0.0124140571133571	0.0111793283572434	Homo sapiens
k141_6328	308	0.380	3	1.333	0.983	2	1.000	0.972	269	0.0260013345579194	0.0211966003147673	Homo sapiens
k141_5307	366	0.423	3	1.000	0.883	8	2.875	0.792	269	0.0173290136237892	0.0162342593514389	Homo sapiens
k141_8502	2693	0.374	5	437.800	0.342	15	177.533	0.443	269	0.0110676596011466	0.00410050164866191	Plasmodium falciparum 3D7
k141_4515	511	0.395	4	3.000	0.873	9	2.556	0.776	270	0.012358345453053	0.0118061773531318	Homo sapiens
k141_5859	442	0.364	3	2.667	0.863	10	3.000	0.763	273	0.0164891325374743	0.0149968509092613	Homo sapiens
k141_2358	497	0.376	3	2.000	0.742	9	2.556	0.605	276	0.0177850463387151	0.0164102196067826	Homo sapiens
k141_10088	545	0.413	4	2.000	0.650	6	1.833	0.652	276	0.0123659225200422	0.0114967524978896	Homo sapiens
k141_1686	343	0.373	4	1.500	0.704	5	4.000	0.966	278	0.0319030340178386	0.0184246884429344	Homo sapiens
k141_560	589	0.399	4	4.250	0.750	8	8.500	0.957	278	0.0158918153883316	0.0141251815871754	Homo sapiens
k141_4804	347	0.418	4	1.250	0.852	6	4.333	0.957	283	0.0313634312494342	0.0235022409814129	NA
k141_6415	377	0.390	2	1.500	0.968	4	1.750	0.904	284	0.0199384620852971	0.0183181552148489	Homo sapiens
k141_1332	319	0.455	2	2.000	0.973	2	3.000	0.777	287	0.0494683228791869	0.0347171962593305	Naegleria fowleri
k141_8773	811	0.402	5	18.600	0.787	13	14.077	0.626	288	0.00839845610604297	0.00757213486245578	Homo sapiens
k141_1777	418	0.414	2	1.500	0.646	2	2.000	0.609	289	0.0289349898202943	0.0189490980474113	Homo sapiens
k141_10367	668	0.362	5	23.800	0.795	12	23.333	0.646	291	0.0108090286291262	0.00981809669893932	Homo sapiens
k141_5316	352	0.426	2	2.500	0.922	2	5.000	0.967	292	0.0279568322549622	0.0217857594617076	Homo sapiens
k141_6859	324	0.420	2	2.000	0.975	9	2.444	0.821	293	0.0221761672784457	0.0206510594598214	Homo sapiens
